Bedriftsnavn,Adresse,Postnummer,Poststed,Godkjenningstyper,Organisasjonsnummer,Godkjenningsnummer
BR-AUTO AS,Nesflåtveien 14,4018,STAVANGER,BILVERKSTED01,919527919,31585
Cartech AS,Skreppestadveien 45,3261,LARVIK,BILVERKSTED01,979479557,31544
LOMUNDAL TRANSPORT AS,Industriveien 16,7200,KYRKSÆTERØRA,"BILVERKSTED01, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04",955655001,8317
Norsk Scania AS avd Mo i Rana,Verkstedveien 14,8624,MO I RANA,"ALKOLASVERKSTED, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN03",879263662,8907
BYÅSEN BILSKADESENTER AS,Nils Uhlin Hansensv. 70,7026,TRONDHEIM,SKADEVERKSTED01,979323638,8026
Lommedalen Auto AS,Skollerud vn 140,1350,Lommedalen,"BILVERKSTED01, KONTROLLORGAN01",984668252,913
CARGLASS AS AVD SØRLANDSPARKEN,Grasdalen 26,4636,KRISTIANSAND S,BILGLASS,973119907,31203
Sande Auto Nord AS,Liamyrane 6,5132,NYBORG,"BILVERKSTED01, KONTROLLORGAN01",988664367,6582
CBP as,Alexander Kiellandsgate 43,3717,SKIEN,MOTORSYKKELOGMOPED,976779975,4898
Arendal kommune,Solborg,4836,Arendal,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR",940493021,5366
KOHT & SØNNER AS,Stormyra 40,9143,SKIBOTN,HJUL,914191424,31378
Osloungdommens Motorsenter,Ljansbrukveien 33  Hvervenbukta,1250,Oslo,MOTORSYKKELOGMOPED,972408875,1470
Mekonomen Company Bilverksted AS avd. Haukali Auto,Fabrikkveien 8,4323,Sandnes,"BILVERKSTED01, KONTROLLORGAN01",920377068,6039
Bergan Maskinsalg AS,Åshaugveien 94,3170,SEM,TRAKTOR,969012758,19024
Langøen Bilverksted,Bjørumsvegen 16,4820,FROLAND,"BILVERKSTED01, KONTROLLORGAN01",998027063,22019
TESLA  NORWAY AS avdeling Åsane,Liamyrane 4,5132,NYBORG,"BILVERKSTED01, KONTROLLORGAN01",997433173,31439
KARMØY LIFT & MASKINUTLEIE AS,BLEIKMYRVEGEN 13,4276,VEAVÅGEN,"HENGERESPALOPSBREMSEANLEGG, HJUL",989847651,31177
FLISA BILELEKTRISKE AS,Sundmoen 34,2270,FLISA,"BILVERKSTED01, MOTORSYKKELOGMOPED",914177170,32184
I.EKNES BILVERKSTED AS,KOKSTADFLATEN 32,5257,KOKSTAD,"BILVERKSTED01, KONTROLLORGAN01",828137832,32124
NAF  Senter Halden,Knivsøveien 4,1788,Tistedal,"BILVERKSTED01, KONTROLLORGAN01B",987372540,458
Bilhuset Førde AS,Øyrane 6,6803,FØRDE,"BILVERKSTED01B, KONTROLLORGAN01B",994271725,7085
Steigen Vekst AS,Furulund,8283,LEINESFJORD,BILVERKSTED01B,876516012,23480
Bilpartner karosseriteknikk A/S,Stanseveien 2,975,Oslo,SKADEVERKSTED02,948095254,1595
Gumpens Auto Grenland A/S,Melkeveien 10,3919,PORSGRUNN,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED02",918506519,4852
SANDEFJORD KOMMUNE,Bekkeveien 12,3236,SANDEFJORD,"BILVERKSTED01B, KONTROLLORGAN01B",916882807,30980
LØDINGEN BILSERVICE AS,SJØVEGEN 62,8410,LØDINGEN,"BILVERKSTED01B, KONTROLLORGAN01",892035792,30456
GRODÅS BILSENTER,SANDEN 30,6763,HORNINDAL,HJUL,920440320,31653
Techline Bilelektro Klevengen,Fjellhammerveien 1,2743,HARESTUA,"BILGLASS, BILVERKSTED01",984738919,3025
Bremnes Auto AS,Svortlandsvegen 51,5430,BREMNES,"BILVERKSTED01, KONTROLLORGAN01",947766848,6764
KOLBU BILSERVICE AS,KOLBUVEGEN 495,2847,KOLBU,"BILVERKSTED01B, KONTROLLORGAN01B",992221518,30170
ORKLA ISOLERGLASS AS,Tiltaksvegen 10,7300,ORKANGER,BILGLASS,829344432,32139
Hovland Servicesenter AS,Yttersøveien 12,3274,LARVIK,BILVERKSTED01,917122997,31617
Dekkcenteret Bergen AS,Lønningsflaten 37,5258,BLOMSTERDALEN,HJUL,985737614,6724
"HANDICARE  Auto, avd. Bergen AS",Espehaugen 51,5258,BLOMSTERDALEN,"BILVERKSTED01, PABYGGER",965395830,6721
Bilservice Egersund AS,Høljebakkane 1A,4373,EGERSUND,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED02",993732877,14278
HAGIA KARMØY AS,BØNESVEGEN 70,4260,TORVASTAD,"HENGERESPALOPSBREMSEANLEGG, HJUL, LYSUTSTYR",998806348,31470
AUTO RØYKEN AS,Slemmestadveien 729,3440,RØYKEN,"BILVERKSTED01, KONTROLLORGAN01",927387301,31564
Dekk1 Partner,Hågasletta 1,3236,SANDEFJORD,"HENGERESPALOPSBREMSEANLEGG, HJUL, LYSUTSTYR",920187390,29883
Norsk Scania AS avd. Førde,Tverrgrova 1,6802,FØRDE,"ALKOLASVERKSTED, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN03",879263662,7020
FØRDE BILSERVICE AS,FLOVEGEN 6,6800,FØRDE,"BILVERKSTED01, KONTROLLORGAN01",922625263,7025
Hurtigruta CARGLASS avd Leaseplan,Kragerudveien 80,2013,SKJETTEN,BILGLASS,985758220,30379
STANDARN DEKK AS,SUNDSVEGEN 120,5450,SUNDE I SUNNHORDLAND,"HENGERESPALOPSBREMSEANLEGG, HJUL",996713687,30179
STOA MASKIN AS,SKRUBBEDALSVEIEN 5,4848,ARENDAL,HENGERESPALOPSBREMSEANLEGG,989004611,31870
Glommen Bil AS,Kongsvingervegen 3031,2166,OPPAKER,"BILVERKSTED01, KONTROLLORGAN01",971001968,1215
"Felleskjøpet Agri SA,  avd. Gol",Husøynvegen 2,3550,GOL,"KONTROLLORGAN05, TRAKTOR",911608103,19559
HOELS AUTO AS,INDUSTRIGATEN 4,3515,HØNEFOSS,"BILVERKSTED01, KONTROLLORGAN01B",890206182,3412
STRANDVEIEN AUTO VERDAL AS,Venusvegen 10c,7652,VERDAL,"BILVERKSTED01, BILVERKSTED01B, KONTROLLORGAN01",935358035,8564
BARMEN OG LUND AS,Øyna 3,6701,MÅLØY,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED",985256810,7137
Felleskjøpet Agri SA - avd. Voss,Regimentsvegen 8,5700,VOSS,TRAKTOR,911608103,24440
Steinkjer Motorsenter AS,Hamnegata 20,7714,STEINKJER,MOTORSYKKELOGMOPED,976621824,19421
BILTEKNIKK ASKIM AS,Sagveien 1B,1814,ASKIM,"BILVERKSTED01, KONTROLLORGAN01",926038397,31686
LEITE MEK VERKSTED,Flygansvær,5683,REKSTEREN,HJUL,970006443,29364
Otto Moe AS avd Rørvik,Betzy Bergsgt. 2,7900,Rørvik,"BILVERKSTED01B, KONTROLLORGAN01B",916125844,8750
"Norsk Scania Kristiansand AS, avd. buss",Dalaneveien 51,4618,KRISTIANSAND S,"ALKOLASVERKSTED, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN03",879263662,30800
Høylandet Auto AS avd. Namsos,Sivavegen 6,7820,Spillum,"BILVERKSTED01, KONTROLLORGAN01",912924424,8711
NYE SKODJE AUTO AS,Skodjevegen 330,6260,SKODJE,"BILVERKSTED01, HJUL, KONTROLLORGAN01, SKADEVERKSTED01",928959538,32174
PRO MOTOR NORD AS,Snev. 11,8072,BODØ,"BILVERKSTED01, MOTORSYKKELOGMOPED, SKADEVERKSTED02",986651101,9084
DEKKLAGERET MOSJØEN AS,Leira 12,8663,MOSJØEN,HJUL,996662950,29770
Maskin & Auto Service Sør AS,Mjåvannsvegen 8,4628,KRISTIANSAND S,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04",991393919,11752
CARGLASS AS AVD STEINKJER,ENSJØVEIEN 17,655,OSLO,BILGLASS,921229461,30977
HOVLI AUTO AS,Glitrevegen 21,3550,GOL,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",936915779,3526
SMESTAD AUTOSERVICE EFTF. V/RUNE GANGSTØ,SØRFJORDVEIEN 12,7980,TERRÅK,HJUL,912340708,31938
Brumunddal Bil & Karosseri AS,Ringsakervegen 19,2380,Brumunddal,"BILVERKSTED01, KONTROLLORGAN01",987656093,2069
Sentrum Bil Ulsteinvik A/S,Storehølvegen 40,6067,Ulsteinvik,"BILVERKSTED01, KONTROLLORGAN01",983225179,7513
FJELD BILVERKSTED AS,HALDENVEIEN 2,1639,GAMLE FREDRIKSTAD,"BILVERKSTED01, KONTROLLORGAN01",818640552,30593
HOV DEKKSERVICE AS,LAUSGARDSVEGEN 42,2860,HOV,HJUL,913013328,31503
HELSFYR BILVERKSTED AS,GRENSEVEIEN 73B,663,OSLO,"BILVERKSTED01, KONTROLLORGAN01",915865178,29444
ÅRVIKSAND VERKSTED AS,Fjærbakkveien 15,9195,ÅRVIKSAND,BILVERKSTED01,952487639,31376
Sandem Auto AS,Nordre Bliksrud vei 8,1940,BJØRKELANGEN,"BILVERKSTED01, KONTROLLORGAN01",997669932,22521
HATLE MOTOR ROGER HATLE,Tornesvegen 83,6447,ELNESVÅGEN,MOTORSYKKELOGMOPED,980616428,31196
"TEAM VERKSTED TRØNDELAG AS, avd. Levanger",Gråmyrvegen 43,7608,LEVANGER,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, HJUL, KONTROLLORGAN04",946930342,30913
Sulland Otta AS,Skansen 4 A,2670,OTTA,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED02",952073559,2814
BILHUSET SKADE & LAKK AS,Vestre Svanholmen 9-11,4313,SANDNES,SKADEVERKSTED02,914367212,29851
"Akershus Traktor A/S, avd. Steinkjer",Fjordgata 4,7714,STEINKJER,TRAKTOR,947340204,32153
FLYGT BIL AS,Gamle Riksvei 32,8008,BODØ,"BILVERKSTED01, KONTROLLORGAN01",984016530,9090
Taxi Transport Telemark Administrasjon AS,Rødmyrlia 11,3725,SKIEN,ALKOLASVERKSTED,986940006,32298
ISTRAIL AS,Nordre Kullerød 17,3241,SANDEFJORD,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03",948825716,30346
HAUGSTAD SOL AS,Lagårdsvegen 12,4362,VIGRESTAD,HENGERESPALOPSBREMSEANLEGG,943196540,31353
Treco - Bil AS,Heglandsvegen 51,5680,TYSNES,"BILVERKSTED01, KONTROLLORGAN01",948569175,6773
JAN RUNE STORØY,HJELMBREKKEVEGEN 49,6847,VASSENDEN,"BILVERKSTED01, LYSUTSTYR",918893644,30895
SKala Skade & Lakk AS avd. Åsane,Nordre Brurås 4,5131,NYBORG,SKADEVERKSTED02,921903677,31620
STORSLETT AUTO AS,SENTRUM 33,9151,STORSLETT,"ALKOLASVERKSTED, BILGLASS, BILVERKSTED01B, EKSOSANLEGG, HJUL, KONTROLLORGAN01B, LYSUTSTYR, MOTORSYKKELOGMOPED, SKADEVERKSTED02",914283698,29856
Autoservice Evje AS,Verksvegen 5,4735,Evje,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED02",990725888,5312
AUTOSPORT VERKSTED AS,TUNGASLETTA 10,7047,TRONDHEIM,"BILVERKSTED01, MOTORSYKKELOGMOPED",819933472,30611
RSA Bil Tromsø,Ærfuglvegen 2,9015,TROMSØ,"BILVERKSTED01B, KONTROLLORGAN01B",915518389,27521
SIVERT JAN OMMEDAL,Austredalen 595,6829,HYEN,HJUL,979347650,30586
Alex Autoservice AS,Vollsveien 74,1358,JAR,"BILVERKSTED01, KONTROLLORGAN01",990050244,986
STRANDVEIEN AUTO AS,Tungasletta 16,7047,TRONDHEIM,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",975964310,8110
Autoco Bærum AS,Rudsletta 88,1351,RUD,"BILVERKSTED01, KONTROLLORGAN01",951413828,937
"Hurtigruta Carglass AS, avd. Asker","Alfheim 7, Grindergården",1387,ASKER,BILGLASS,985758220,29001
LINAS ARMALIS,KREGNESVEGEN 116,7228,KVÅL,BILVERKSTED01,917720584,30207
DekkTeam Kongsvinger,Sidevegen 9 A,2211,KONGSVINGER,HJUL,980341151,29383
Kapp Bilverksted AS,Kveldsrovegen 40,2849,KAPP,"BILVERKSTED01, KONTROLLORGAN01",976953231,3014
G. Eilertsen A/S,Strandgata 96,6060,Hareid,"BILVERKSTED01, BILVERKSTED01B, KONTROLLORGAN01, KONTROLLORGAN01B",963443900,7555
Øvre Sagen Servicesenter,Melåsbergsveien 307,2416,JØMNA,"BILVERKSTED01, KONTROLLORGAN01",990780595,12832
Foss Autoservice,Haugveien 33,1903,GAN,"BILVERKSTED01, KONTROLLORGAN01",987460814,1007
FERMANN SERVICE AS,VÆRVEIEN 39,9770,MEHAMN,"BILVERKSTED01, KONTROLLORGAN01",981575954,30034
Herøy Auto AS,"Røyrasundvegen, Røyra",6095,BØLANDET,"BILVERKSTED01, KONTROLLORGAN01",913077814,26502
EKSOSVERKSTEDET TRONDHEIM AS,SØRENGA 1A,7032,TRONDHEIM,"EKSOSANLEGG, HJUL",989486519,29703
SAGASYSTEM AS,Kokstadflaten 35,5257,KOKSTAD,ALKOLASVERKSTED,993471038,31175
VEST-FINNMARK BIL AS,Komsaveien 20,9511,ALTA,BILVERKSTED01,919138882,30620
INDERGÅRDS BILVERKSTED,lensvikveien 251,7316,Lensvik,"BILVERKSTED01B, KONTROLLORGAN01B",968488511,8303
"Thansen AS, avd. Skien",Kjørbekkdalen 19,3735,SKIEN,HJUL,923897682,31510
GMS-Gjøvik Motor Service AS,Ringvegen 13 b,2816,GJØVIK,MOTORSYKKELOGMOPED,976916786,3013
Auto Teknikk Enebakk AS,Osloveien 717,1914,YTRE ENEBAKK,"BILVERKSTED01, KONTROLLORGAN01",997850831,24220
Vossevangen Bil AS,Strandavegen 19,5700,VOSS,"BILVERKSTED01, KONTROLLORGAN01",835188582,6975
Albjerk Bil Ringerike AS,DR. ÅSTASGT. 22,3511,HØNEFOSS,"BILVERKSTED01B, KONTROLLORGAN01",817203752,3355
KAUPANGER BIL AS,Kvernhushagen 1,6854,KAUPANGER,"BILVERKSTED01, KONTROLLORGAN01",987102209,7232
OTTO  MOE AS AVD GRONG,Medjåvegen,7870,Grong,"BILVERKSTED01, KONTROLLORGAN01",916125844,8715
PM MOTOR AS,KOLSTIEN 2,5097,BERGEN,MOTORSYKKELOGMOPED,992646551,29938
GULSKOGEN AUTOLAKK AS,Teglverksveien 89,3057,SOLBERGELVA,LYSUTSTYR,993359653,32193
Mobilezervice AS,Industriveien 2,3300,HOKKSUND,SKADEVERKSTED02,991509739,12532
Møller Bil Sør-Rogaland AS avd. Skadesenteret,Kvålveien 1,4323,SANDNES,SKADEVERKSTED02,933625583,6152
Søgne Bilservice AS,LUNDEVEIEN 116B,4640,SØGNE,"BILVERKSTED01, KONTROLLORGAN01",983908047,31472
FORNEBU BILVERKSTED AS,Rolfsbuktveien 15,1364,FORNEBU,"BILVERKSTED01B, KONTROLLORGAN01B",929164822,14519
MYCAR SMART REPAIR AS,Henrik Bullsveg 64,2069,JESSHEIM,SKADEVERKSTED01,912100944,31857
Bil og Dekkservice AS,J.M.Johansens vei 189,8340,Stamsund,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, MOTORSYKKELOGMOPED, TRAKTOR",984325851,9294
thansen AS Lagunen,Laguneveien 21,5239,RÅDAL,HJUL,923897682,31727
Evje og Hornes kommune,Evjemoen,4735,EVJE,BILVERKSTED01,964966109,10370
Fixbil Damsgård Karosseri AS,"Simonsviken Næringspark, Sjøkrigsskoleveien 15",5165,LAKSEVÅG,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",983638112,30518
Autoria Rød AS,Sagveien 7,1814,ASKIM,"BILVERKSTED01B, KONTROLLORGAN01",973074342,205
TEKNISK BUREAU BARDUFOSS AS,Haraldvollvegen 2,9325,Bardufoss,"BILVERKSTED01B, KONTROLLORGAN01B",951738808,9817
GLASSMESTERFIRMA EKRA & VOIE AS,STRØMSBUVEIEN 61,4836,ARENDAL,BILGLASS,982829577,29507
AUTOEXPERTEN BILVERKSTED AS,HARALDS VEI 6,1470,LØRENSKOG,"BILVERKSTED01, KONTROLLORGAN01",919034998,30743
Bertel O. Steen Drammen avd Åssiden,INGVALD LUDVIGSENS GATE 24,3027,DRAMMEN,"BILVERKSTED01B, KONTROLLORGAN01B",914472547,28837
Autoservice Røyken AS,Industriveien 9,3430,SPIKKESTAD,"BILVERKSTED01, KONTROLLORGAN01",981106423,3770
XPENG MOTORS (NORWAY) AS,Solheimveien 62,1473,LØRENSKOG,"BILVERKSTED01, KONTROLLORGAN01",926868950,32162
DEKK OG DELER AS avd. Stord,Lyngneset 1,5410,SAGVÅG,HJUL,996430022,31019
HASTADKLEV VERKSTED STJØRDAL AS,HOTELLGATA 4,7500,STJØRDAL,"BILVERKSTED01, KONTROLLORGAN01",921865279,31093
Nordlund Maskin AS,Kamsletta,6657,RINDAL,"PABYGGER, TRAKTOR",925159328,18899
NAF Senter Molde,Gammelseterlia 9,6422,Molde,"BILVERKSTED01, KONTROLLORGAN01",987372540,7708
Knapphus Dekk & Bilverksted A/S,Haukelivegen 497,5576,Øvre Vats,"BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN01B, KONTROLLORGAN02, KONTROLLORGAN03, PABYGGER",980235149,6461
TAXI 1 AS,Janaveien 48,5179,GODVIK,ALKOLASVERKSTED,987061480,31108
Bilbruket AS,Øvre Langhaugen 11,5709,VOSS,"BILVERKSTED01B, KONTROLLORGAN01B",915637078,29610
Bilservice Steinberg AS,Kilenveien 1,3053,STEINBERG,"BILVERKSTED01, KONTROLLORGAN01",987325852,25421
Hegre Auto AS,Gamleveien 81,4315,SANDNES,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",937665393,5926
VORMSUND AUTOSERVICE AS,Kjølstadvegen 1,2160,VORMSUND,"BILVERKSTED01, KONTROLLORGAN01",827211982,31862
Lyngved Mek,Ottadalsvegen 5030,2685,GARMO,BILVERKSTED01,994335561,30666
Bondal Motor AS,Fyresdalsvegen 2188,3870,FYRESDAL,"MOTORSYKKELOGMOPED, TRAKTOR",993481874,30008
Autoglass AS avd. Midtun,MIDTUNLIA 73,5224,NESTTUN,BILGLASS,968552732,29404
Sigvartsen AS,Solørvegen 89,2260,KIRKENÆR,"BILVERKSTED01, KONTROLLORGAN01",964690774,15979
CARGLASS AS avd. Forus,Røynebergsletta 1,4033,STAVANGER,BILGLASS,985758220,28735
ØKERN DEKKSENTER AS,ØKERNVEIEN 148,580,OSLO,HJUL,813055392,30711
VIKING REDNINGSTJENESTE DETALJ AS,VOLLAVEIEN 15,668,OSLO,HJUL,916531028,29447
SKJEBERG AUTO  A.S.,Høysandv 12,1746,Skjeberg,"BILVERKSTED01, KONTROLLORGAN01",982750369,138
FREDRIKSTAD MOTORSENTER AS,Skårav 15,1621,Gressvik,"BILVERKSTED01, KONTROLLORGAN01",842684412,301
B&B Bilverksted AS,BIRKELANDSVEGEN 102,4200,SAUDA,"BILVERKSTED01, KONTROLLORGAN01",815359852,29423
MARTINIUSSENS BILSERVICE AS,INDUSTRIVEIEN 6,1820,SPYDEBERG,BILGLASS,984616740,29578
SULLAND SARPSBORG AS,Johan Gundersensvei 2,1711,SARPSBORG,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED02",911352400,101
MOTORPOOL HØNEFOSS AS,Osloveien 23,3511,HØNEFOSS,"BILVERKSTED01, KONTROLLORGAN01",921779992,26723
LEA'S AMCAR SALG/SERVICE,Raknesvegen 854,5281,VALESTRANDSFOSSEN,BILVERKSTED01B,992772689,29648
DEKKPROFF AS avd. CC Gjøvik,Jernbanesvingen 6,2821,GJØVIK,HJUL,916725558,31930
Syrrist Karosseri AS,Øreveien 11 B,1533,MOSS,SKADEVERKSTED02,983917224,17959
HELSTAD LANDBRUKSVERKSTED,Løkroken 5,7980,TERRÅK,HJUL,933751120,31102
Kanstad Mekaniske AS,Meistervik,9055,Meistervik,PABYGGER,936245692,9510
Bilbutikk1 - Fredrikstad AS,Stabburv. 1,1617,FREDRIKSTAD,"BILVERKSTED01, KONTROLLORGAN01",879639662,321
CASH & DRIVE A/S,BJ. BJØRNSONSGT. 84,3044,DRAMMEN,"BILVERKSTED01, KONTROLLORGAN01",960699394,3709
DEKKMANN AS AVD ARENDAL,ÅSBIEVEIEN 13,4848,ARENDAL,HJUL,966242825,31635
AUTOTAL AS,Kåsvegen 14,7340,OPPDAL,BILVERKSTED01,917804125,31001
DEKKMANN AS AVD SANDMOEN 5841,Kvenildskogen 12,7093,TILLER,"BILVERKSTED01, HJUL, HJULUTRUSTNING, KONTROLLORGAN01",923594434,28427
ILESBUS NORGE AS,ELINDVEIEN 101,1615,FREDRIKSTAD,ALKOLASVERKSTED,926706004,31984
EKSOSSPESIALISTEN AS,Liavegen 8,5132,NYBORG,"EKSOSANLEGG, HJUL",981521293,31216
City Bil & Elektro AS,Håndverkervn. 5,9018,TROMSØ,"BILVERKSTED01, KONTROLLORGAN01",944568212,9528
ALL-SØRVIS AS,Liarvågvegen 569,5560,NEDSTRAND,BILVERKSTED01,927129914,32047
ATLANTIC AUTO AS,Verftsgata 6A,6430,Bud,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN02, KONTROLLORGAN03, KONTROLLORGAN04, SKADEVERKSTED01",929023803,7670
Tønsberg Auto A/S,Døvlev. 37,3170,Tønsberg,"BILVERKSTED01B, KONTROLLORGAN01B",982283035,4397
Vianor AS avd. Notodden,Semsveien 38,3676,NOTODDEN,HJUL,935429447,28833
Os Auto AS,Industrivegen 13,5200,Os,"BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED, SKADEVERKSTED01",988470643,6740
Nordvik AS avd. Mosjøen,Daneljordet 11,8656,Mosjøen,"BILVERKSTED01, KONTROLLORGAN01",946549770,8834
ADSERØ BILVERKSTED AS,TRAVBANEVEGEN 6,7044,TRONDHEIM,"BILVERKSTED01, KONTROLLORGAN01",914526698,28413
GS BILDELER AS,Prestgardvegen 160,6430,BUD,"BILVERKSTED01, KONTROLLORGAN01",980501515,12692
Werksta Grorud AS,Østre Aker vei 243,976,OSLO,SKADEVERKSTED02,880395602,1583
Kokstad AutoSenter AS,Kokstadflaten 29,5257,KOKSTAD,"BILVERKSTED01, KONTROLLORGAN01",911577313,23801
Harald A Møller AS avd. Møller Biltilpasning,Hvamstubben 8,2013,SKJETTEN,"ALKOLASVERKSTED, PABYGGER",914634784,28473
Sentrum Auto AS,Prinsensgate 8,3211,SANDEFJORD,"BILVERKSTED01, KONTROLLORGAN01",930549215,4718
RONGJA BIL OG MC DA,C/O ODDBJØRN SKREDDERHAUG,6391,TRESFJORD,HJUL,996222713,30232
HURUM AUTO AS,Østre Strandvei 52,3482,TOFTE,KONTROLLORGAN01,918934049,31882
AXESS LOGISTICS AS avd Lier,Terminal 4 Hall C,3414,LIERSTRANDA,BILVERKSTED01,917722773,32161
KS-BIL KETIL STOKKELAND,"Gimravegen 110, 4054 Tjelta",4362,VIGRESTAD,MOTORSYKKELOGMOPED,984338651,31015
Auto Bruno AS,Forsøkslia 7C,7028,TRONDHEIM,"BILVERKSTED01, KONTROLLORGAN01",929360427,22980
TRØNDER TAXI AS,Brøsetvegen 145B,7069,TRONDHEIM,ALKOLASVERKSTED,967332550,31272
Norsk Scania AS avd. Trondheim,Torgårdsveien 13,7093,TILLER,"ALKOLASVERKSTED, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN03, SKADEVERKSTED02",879263662,8218
KROKEN CARAVAN AS AVD ÅNDALSNES,Strandgata 125,6300,ÅNDALSNES,"BILVERKSTED01B, HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR, PABYGGER",997651537,32185
FMS AUTOPARTS AS,Pancoveien 26,1624,GRESSVIK,HJUL,977166225,32281
TOYOTA SØRVEST AS AVD BRYNE,ESKERVEIEN 1 A,4341,BRYNE,"BILVERKSTED01, KONTROLLORGAN01",926735837,31793
Ottestad Bilsenter AS,Gubberudvegen 114F,2312,Ottestad,"BILVERKSTED01, KONTROLLORGAN01",984360576,2076
OLA MOEN,Buvikveien 86,7165,OKSVOLL,HJUL,912693775,32066
Balholm Auto Drift AS,Sognefjordvegen 3,6899,BALESTRAND,"BILVERKSTED01B, HJUL, KONTROLLORGAN01B, LYSUTSTYR, TRAKTOR",913155092,26122
Nordkapp Auto AS,Nordkappveien 14B,9750,HONNINGSVÅG,"BILVERKSTED01, KONTROLLORGAN01",979703090,21479
NESSET AUTO AS,OSVEIEN 2442,2460,OSEN,BILVERKSTED01,917736642,30143
FANA DEKKSENTER AS,FANAVEGEN 15,5221,NESTTUN,HJUL,997726669,29354
SAND BILCO A/S,Magasinvegen 16,2120,Sagstua,"BILVERKSTED01B, KONTROLLORGAN01B",968658433,2535
Berge & Co Ørsta AS,Anders Hovdensgate 14,6150,Ørsta,"BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED",951435325,7512
Ørebekk Karosseriverksted A/S,Nordkilen 2,1621,GRESSVIK,SKADEVERKSTED02,930203998,320
Humberset Bil-og Mek Verkstad A/S,Hamnegata 37,6100,Volda,"BILVERKSTED01, BILVERKSTED01B, KONTROLLORGAN01, KONTROLLORGAN01B, MOTORSYKKELOGMOPED",930552356,7506
CARGLASS AS avd. Ski,Teglveien 16,1400,SKI,BILGLASS,985758220,29525
DekkTeam AS Avd. Alnabru,Breivollveien 27,668,OSLO,HJULUTRUSTNING,870897332,29784
"Team Verksted AS, avd. Kristiansand",Rigedalen 44,4626,KRISTIANSAND S,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04",946930342,23882
WASH COMPANY,BEKKEVEIEN 8,3236,SANDEFJORD,HJUL,914104025,31451
Trucknor Sogn og Fjordane AS avd. Stryn,Hegreveien 16,6783,STRYN,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, TRAKTOR",888545972,7128
Vianor AS avd. Alnabru,Verkseier Furulunds vei 5,668,OSLO,HJUL,935429447,16278
BJERKADAL BIL,STEINVOLLVEIEN 1,8050,TVERLANDET,BILVERKSTED01,982389895,31180
"Felleskjøpet Rogaland Agder, avd Etne",Haukelivegen 1001,5590,ETNE,TRAKTOR,915442552,23163
OLJESKIFTEXPRESSEN AS,KIRKEVEIEN 172,455,OSLO,"BILVERKSTED01, HJUL",970959599,31305
RING AUTO SERVICE AS,Gigstadsvei 18,3511,HØNEFOSS,"BILVERKSTED01, KONTROLLORGAN01",915871372,29688
TUNGEN BIL A/S,Hageveien 15 B,2613,LILLEHAMMER,"BILVERKSTED01, KONTROLLORGAN01",961345421,2620
MTF BIL AS,Åsheimveien 12,3490,KLOKKARSTUA,"BILVERKSTED01B, KONTROLLORGAN01",999338216,23840
TVEITA BILSERVICE AS,TVETENVEIEN 154,671,OSLO,"BILVERKSTED01, KONTROLLORGAN01",914787785,28421
Etac Bil AS avd. Bergen,Kokstaddalen 45,5257,KOKSTAD,"BILVERKSTED01, PABYGGER",999065465,6685
Auto 8-8 HAUKEBØ & RØDSETH AS,Enenvegen 1 A,6402,Molde,"BILVERKSTED01B, KONTROLLORGAN01B",912511782,7608
